Belt,Division,Division Group,No.,Name,Country,Date,Location,Defenses,Days,Ended,Notes,Next Champ Date,Day until Next Champ,Region,Continent,Title Type
WBA,Heavyweight,Heavyweight,32, John Ruiz,US,3/3/2001,,2,728,,,3/1/2003,728,North America,North America,
WBA,Heavyweight,Heavyweight,33, Roy Jones Jr.,US,3/1/2003,,0,356,,Jones vacated and moved back down to light heavyweight,2/20/2004,356,North America,North America,
WBA,Heavyweight,Heavyweight,34, John Ruiz (2) (Interim champ promoted),US,2/20/2004,,2,666,,,12/17/2005,666,North America,North America,
WBA,Heavyweight,Heavyweight,35, Nikolai Valuev,Russia,12/17/2005,,3,483,,,4/14/2007,483,Eastern Europe,Europe,
WBA,Heavyweight,Heavyweight,36, Ruslan Chagaev,Uzbekistan,4/14/2007,,2,461,,Chagaev was injured and declared Champion in Recess. He was later stripped of that title for not being able participate in a rematch with Valuev.,8/30/2008,504,Eastern Europe,Europe,
WBA,Heavyweight,Heavyweight,37, Nikolai Valuev (2) (v. John Ruiz),Russia,8/30/2008,,1,342,,,11/7/2009,434,Eastern Europe,Europe,
WBA,Heavyweight,Heavyweight,38, David Haye,Great Britain,11/7/2009,,2,602,,Haye fought for the Super title against Wladimir Klitschko,7/2/2011,602,Western Europe,Europe,
WBA,Heavyweight,Heavyweight,39, Wladimir Klitschko – Super champion (v. David Haye),Ukraine,7/2/2011,,8,1610,,,8/27/2011,56,Eastern Europe,Europe, Super champion 
WBA,Heavyweight,Heavyweight,40, Alexander Povetkin – Regular champion (v. Ruslan Chagaev),Russia,8/27/2011,,4,770,,Povetkin fought for the Super title against Wladimir Klitschko,7/6/2014,1044,Eastern Europe,Europe, Regular champion (v. Ruslan Chagaev)
WBA,Heavyweight,Heavyweight,41, Ruslan Chagaev (2) – Regular champion (v. Fres Oquendo),Uzbekistan,7/6/2014,,1,750,,"Chagaev lost title to Lucas Browne on March 5, 2016, although he was later reinstated as Browne failed the doping test. In July, Chagaev was stripped of title for failure to pay sanctioning fees.",11/28/2015,510,Eastern Europe,Europe, Regular champion (v. Fres Oquendo)
WBA,Heavyweight,Heavyweight,42, Tyson Fury – Super champion,Great Britain,11/28/2015,,0,319,,"Fury vacated after cancelling a rematch with Wladimir Klitschko for a second time, citing depression after a positive test for cocaine.",4/29/2017,518,Western Europe,Europe, Super champion
WBA,Heavyweight,Heavyweight,43, Anthony Joshua – Super champion (v. Wladimir Klitschko),Great Britain,4/29/2017,,3,763,,,11/25/2017,210,Western Europe,Europe, Super champion (v. Wladimir Klitschko)
WBA,Heavyweight,Heavyweight,44, Manuel Charr – Regular champion (v. Alexander Ustinov),Germany,11/25/2017,,0,1060,,,6/1/2019,553,Western Europe,Europe, Regular champion (v. Alexander Ustinov)
WBA,Heavyweight,Heavyweight,45, Andy Ruiz Jr. – Super champion,US,6/1/2019,,0,189,,,12/7/2019,189,North America,North America, Super champion
WBA,Heavyweight,Heavyweight,46, Anthony Joshua (2) – Super champion,Great Britain,12/7/2019,,0,318,,,,,Western Europe,Europe, Super champion
WBA,Cruiserweight,Cruiserweight,1, Ossie Ocasio (v. ),Puerto Rico,2/13/1982,,3,1022,,,12/1/1984,1022,Caribbean,North America,
WBA,Cruiserweight,Cruiserweight,2, Piet Crous,South Africa,12/1/1984,,1,238,,,7/27/1985,238,Sub-Saharan Africa,Africa,
WBA,Cruiserweight,Cruiserweight,3, Dwight Muhammad Qawi,US,7/27/1985,,1,350,,,7/12/1986,350,North America,North America,
WBA,Cruiserweight,Cruiserweight,4, Evander Holyfield,US,7/12/1986,,5,903,,Holyfield vacated to move up to heavyweight,3/25/1989,987,North America,North America,
WBA,Cruiserweight,Cruiserweight,5, Taoufik Belbouli (v. Michael Greer),Tunisia,3/25/1989,,0,281,,Belbouli never defended the title and vacated it 6 months after winning it,11/27/1989,247,Northern Africa,Africa,
WBA,Cruiserweight,Cruiserweight,6, Robert Daniels (v. Dwight Muhammad Qawi),US,11/27/1989,,2,466,,,3/8/1991,466,North America,North America,
WBA,Cruiserweight,Cruiserweight,7, Bobby Czyz,US,3/8/1991,,2,664,,Czyz was involved in a car accident and he had to vacate the title for his inability to defend it,11/6/1993,974,North America,North America,
WBA,Cruiserweight,Cruiserweight,8, Orlin Norris (v. Marcelo Figueroa),US,11/6/1993,,4,501,,,7/22/1995,623,North America,North America,
WBA,Cruiserweight,Cruiserweight,9, Nate Miller,US,7/22/1995,,4,840,,,11/8/1997,840,North America,North America,
WBA,Cruiserweight,Cruiserweight,10, Fabrice Tiozzo,France,11/8/1997,,4,1127,,,12/9/2000,1127,Western Europe,Europe,
WBA,Cruiserweight,Cruiserweight,11, Virgil Hill,US,12/9/2000,,0,441,,,2/23/2002,441,North America,North America,
WBA,Cruiserweight,Cruiserweight,12, Jean-Marc Mormeck,France,2/23/2002,,3,1134,,Mormeck fought for the Super title against Wayne Braithwaite,4/2/2005,1134,Western Europe,Europe,
WBA,Cruiserweight,Cruiserweight,13, Jean-Marc Mormeck – Super champion (v. Wayne Braithwaite),France,4/2/2005,,0,280,,,1/7/2006,280,Western Europe,Europe, Super champion (v. Wayne Braithwaite)
WBA,Cruiserweight,Cruiserweight,14, O'Neil Bell – Super champion,Jamaica,1/7/2006,,0,434,,,1/27/2006,20,Caribbean,North America, Super champion
WBA,Cruiserweight,Cruiserweight,15, Virgil Hill (2) (v. Valery Brudov),US,1/27/2006,,0,666,,,3/17/2007,414,North America,North America,
WBA,Cruiserweight,Cruiserweight,16, Jean-Marc Mormeck (2) – Super champion,France,3/17/2007,,0,238,,,11/10/2007,238,Western Europe,Europe, Super champion
WBA,Cruiserweight,Cruiserweight,17, David Haye – Super champion,Great Britain,11/10/2007,,1,184,,Haye vacated his title and moved up to heavyweight,11/24/2007,14,Western Europe,Europe, Super champion
WBA,Cruiserweight,Cruiserweight,18, Firat Arslan,Germany,11/24/2007,,1,308,,,9/27/2008,308,Western Europe,Europe,
WBA,Cruiserweight,Cruiserweight,19, Guillermo Jones,Panama,9/27/2008,,2,1494,,Jones was declared Champion in recess,10/30/2012,1494,Central America,North America,
WBA,Cruiserweight,Cruiserweight,20, Denis Lebedev (Interim champ promoted),Russia,10/30/2012,,1,199,,,5/17/2013,199,Eastern Europe,Europe,
WBA,Cruiserweight,Cruiserweight,21, Guillermo Jones (2),Panama,5/17/2013,,0,154,,Jones was stripped of title after failing a drug test from his fight with Denis Lebedev. Lebedev was reinstated as champion,10/18/2013,154,Central America,North America,
WBA,Cruiserweight,Cruiserweight,22, Denis Lebedev (2) – Reinstated,Russia,10/18/2013,,3,946,,Lebedev fought for Super title against IBF champion Víctor Ramírez,5/21/2016,946,Eastern Europe,Europe, Reinstated
WBA,Cruiserweight,Cruiserweight,23, Denis Lebedev – Super champion,Russia,5/21/2016,,1,638,,WBA changed Lebedev's status to Champion in recess in order to allow Yuniel Dorticos to unify his title with IBF champion Murat Gassiev. Lebedev had lost a bout against Gassiev where only the IBF title was on the line,5/21/2016,0,Eastern Europe,Europe, Super champion
WBA,Cruiserweight,Cruiserweight,24, Beibut Shumenov – Regular champion,Kazakhstan,5/21/2016,,0,394,,"Shumenov vacated title after cancelling defense fight multiple times against Yuniel Dorticos, due to an eye injury. He announced retirement one week after vacating the title. He would come back of retirement later",6/19/2017,394,Eastern Europe,Europe, Regular champion
WBA,Cruiserweight,Cruiserweight,25, Yuniel Dorticos – Regular champion,Cuba,6/19/2017,,1,229,,(interim champ promoted) Dorticos fought for Unified title against IBF champion Murat Gassiev,2/3/2018,229,Caribbean,North America, Regular champion
WBA,Cruiserweight,Cruiserweight,26, Murat Gassiev – Unified champion,Russia,2/3/2018,,0,168,,(v. Yuniel Dorticos),7/7/2018,154,Eastern Europe,Europe, Unified champion
WBA,Cruiserweight,Cruiserweight,27, Beibut Shumenov – Regular champion,Kazakhstan,7/7/2018,,0,836,,(v. Hizni Altunkaya) Shumenov stripped of title after failing to meet the terms of the purse bid between him and Arsen Goulamirian. Goulamirian was promoted to regular champion,7/21/2018,14,Eastern Europe,Europe, Regular champion
WBA,Cruiserweight,Cruiserweight,28, Oleksandr Usyk – Unified champion,Ukraine,7/21/2018,,1,249,,Usyk vacated his title and moved up to heavyweight,5/30/2019,313,Eastern Europe,Europe, Unified champion
WBA,Cruiserweight,Cruiserweight,29, Arsen Goulamirian – Regular champion,France,5/30/2019,,0,93,,(interim champ promoted) Goulamirian was promoted to Super champion,8/31/2019,93,Western Europe,Europe, Regular champion
WBA,Cruiserweight,Cruiserweight,30, Arsen Goulamirian – Super champion – Regular champion promoted,France,8/31/2019,,2,416,,,8/31/2019,0,Western Europe,Europe, Super champion 
WBA,Cruiserweight,Cruiserweight,31, Beibut Shumenov – Regular champion – Reinstated,Kazakhstan,8/31/2019,,0,416,,,,,Eastern Europe,Europe, Regular champion 
WBA,Light Heavyweight,Light Heavyweight,1, Willie Pastrano (v. Harold Johnson),US,6/1/1963,,2,688,,,3/30/1965,668,North America,North America,
WBA,Light Heavyweight,Light Heavyweight,2, José Torres,Puerto Rico,3/30/1965,,3,626,,,12/16/1966,626,Caribbean,North America,
WBA,Light Heavyweight,Light Heavyweight,3, Dick Tiger,Nigeria,12/16/1966,,2,525,,,5/24/1968,525,Sub-Saharan Africa,Africa,
WBA,Light Heavyweight,Light Heavyweight,4, Bob Foster,US,5/24/1968,,4,838,,Foster then fought for the heavyweight title against Joe Frazier and the WBA stripped him of the title for not fighting mandatory challenger Jimmy Dupree,2/27/1971,1009,North America,North America,
WBA,Light Heavyweight,Light Heavyweight,5, Vicente Rondón (v. Jimmy Dupree),Venezuela,2/27/1971,,4,405,,,4/7/1972,405,South America,South America,
WBA,Light Heavyweight,Light Heavyweight,6, Bob Foster (2),US,4/7/1972,,5,892,,"Foster vacated and announced retirement, although he came back a year later and fought until 1978",12/7/1974,974,North America,North America,
WBA,Light Heavyweight,Light Heavyweight,7, Víctor Galíndez (v. Len Hutchins),Argentina,12/7/1974,,10,1738,,,9/15/1978,1378,South America,South America,
WBA,Light Heavyweight,Light Heavyweight,8, Mike Rossman,US,9/15/1978,,1,211,,,4/14/1979,211,North America,North America,
WBA,Light Heavyweight,Light Heavyweight,9, Víctor Galíndez (2),Argentina,4/14/1979,,0,230,,,11/30/1979,230,South America,South America,
WBA,Light Heavyweight,Light Heavyweight,10, Marvin Johnson,US,11/30/1979,,0,122,,,3/31/1980,122,North America,North America,
WBA,Light Heavyweight,Light Heavyweight,11, Eddie Mustafa Muhammad,US,3/31/1980,,2,474,,,7/18/1981,474,North America,North America,
WBA,Light Heavyweight,Light Heavyweight,12, Michael Spinks,US,7/18/1981,,10,1526,,Spinks vacated to fight for the Lineal heavyweight title against Larry Holmes,2/9/1986,1667,North America,North America,
WBA,Light Heavyweight,Light Heavyweight,13, Marvin Johnson (2) (v. Leslie Stewart),US,2/9/1986,,1,468,,,5/23/1987,468,North America,North America,
WBA,Light Heavyweight,Light Heavyweight,14, Leslie Stewart,Trinidad & Tobago,5/23/1987,,0,105,,,9/5/1987,105,Caribbean,North America,
WBA,Light Heavyweight,Light Heavyweight,15, Virgil Hill,US,9/5/1987,,10,1367,,,6/3/1991,1367,North America,North America,
WBA,Light Heavyweight,Light Heavyweight,16, Thomas Hearns,US,6/3/1991,,0,291,,,3/20/1992,291,North America,North America,
WBA,Light Heavyweight,Light Heavyweight,17, Iran Barkley,US,3/20/1992,,0,286,,Barkley was also the IBF Super Middleweight champion at the moment and decided to defend that title against James Toney instead of fighting at light heavyweight,9/29/1992,193,North America,North America,
WBA,Light Heavyweight,Light Heavyweight,18, Virgil Hill (2) (v. Frank Tate),US,9/29/1992,,10,1718,,,6/13/1997,1718,North America,North America,
WBA,Light Heavyweight,Light Heavyweight,19, Dariusz Michalczewski,Poland,6/13/1997,,0,18,,The WBA stripped Michalczewski of the title 18 days later for displaying its belt along with that of the WBO and subsequently refusing to give up his WBO title,9/20/1997,99,Eastern Europe,Europe,
WBA,Light Heavyweight,Light Heavyweight,20, Lou Del Valle (v. Eddie Smulders),US,9/20/1997,,0,301,,,7/18/1998,301,North America,North America,
WBA,Light Heavyweight,Light Heavyweight,21, Roy Jones Jr.,US,7/18/1998,,6,987,,Jones was promoted to Super champion,3/31/2001,987,North America,North America,
WBA,Light Heavyweight,Light Heavyweight,22, Roy Jones Jr. – Super champion (Regular champ promoted),US,3/31/2001,,4,1141,,,12/22/2001,266,North America,North America, Super champion (Regular champ promoted)
WBA,Light Heavyweight,Light Heavyweight,23, Bruno Girard (v. Robert Koon),France,12/22/2001,,2,654,,,3/8/2003,441,Western Europe,Europe,
WBA,Light Heavyweight,Light Heavyweight,24, Mehdi Sahnoune,France,3/8/2003,,0,216,,,10/10/2003,216,Western Europe,Europe,
WBA,Light Heavyweight,Light Heavyweight,25, Silvio Branco,Italy,10/10/2003,,0,133,,,2/20/2004,133,Western Europe,Europe,
WBA,Light Heavyweight,Light Heavyweight,27, Fabrice Tiozzo,France,2/20/2004,,1,972,,Tiozzo vacated and retired from professional boxing after defeating Dariusz Michalczewski,5/15/2004,85,Western Europe,Europe,
WBA,Light Heavyweight,Light Heavyweight,28, Antonio Tarver – Super champion after defeating Roy Jones Jr.,US,5/15/2004,,0,230,,"Tarver was stripped of title when he decided to fight IBF champion, Glen Johnson instead of WBA's mandatory challenger",10/19/2006,887,North America,North America, Super champion after defeating Roy Jones Jr.
WBA,Light Heavyweight,Light Heavyweight,29, Silvio Branco (2) (Interim champ promoted),Italy,10/19/2006,,0,191,,,4/28/2007,191,Western Europe,Europe,
WBA,Light Heavyweight,Light Heavyweight,30, Stipe Drviš,Croatia,4/28/2007,,0,287,,,12/16/2007,232,Eastern Europe,Europe,
WBA,Light Heavyweight,Light Heavyweight,31, Danny Green,Australia,12/16/2007,,0,100,,Green vacated and announced retirement. He came back in April 2009,7/3/2008,200,Australia,Australia,
WBA,Light Heavyweight,Light Heavyweight,32, Hugo Garay (v. Yuriy Barashian),Argentina,7/3/2008,,1,352,,,6/20/2009,352,South America,South America,
WBA,Light Heavyweight,Light Heavyweight,33, Gabriel Campillo,Spain,6/20/2009,,1,223,,,1/29/2010,223,Western Europe,Europe,
WBA,Light Heavyweight,Light Heavyweight,34, Beibut Shumenov,Kazakhstan,1/29/2010,,5,1348,,Shumenov got promoted to Super champion,10/8/2013,1348,Eastern Europe,Europe,
WBA,Light Heavyweight,Light Heavyweight,35, Beibut Shumenov – Super champion (Regular champ promoted),Kazakhstan,10/8/2013,,1,193,,,12/14/2013,67,Eastern Europe,Europe, Super champion (Regular champ promoted)
WBA,Light Heavyweight,Light Heavyweight,36, Jürgen Brähmer (v. Marcus Oliveira),Germany,12/14/2013,,6,1022,,,4/19/2014,126,Western Europe,Europe,
WBA,Light Heavyweight,Light Heavyweight,37, Bernard Hopkins – Super champion,US,4/19/2014,,0,203,,,11/8/2014,203,North America,North America, Super champion
WBA,Light Heavyweight,Light Heavyweight,38, Sergey Kovalev – Super champion,Russia,11/8/2014,,4,742,,,10/1/2016,693,Eastern Europe,Europe, Super champion
WBA,Light Heavyweight,Light Heavyweight,39, Nathan Cleverly,Great Britain,10/1/2016,,0,1480,,,11/19/2016,49,Western Europe,Europe,
WBA,Light Heavyweight,Light Heavyweight,40, Andre Ward – Super champion,US,11/19/2016,,1,1431,,Ward announces retirement from boxing.,8/26/2017,280,North America,North America, Super champion
WBA,Light Heavyweight,Light Heavyweight,41, Badou Jack,Sweden,8/26/2017,,0,28,,Jack vacated to avoid a purse bid with mandatory Dmitry Bivol and seek opportunities with bigger names,9/23/2017,28,Northern Europe,Europe,
WBA,Light Heavyweight,Light Heavyweight,42, Dmitry Bivol (Interim champ promoted),Russia,9/23/2017,,6,729,,Bivol promoted to WBA (Super) before fighting Lenin Castillo,10/10/2019,747,Eastern Europe,Europe,
WBA,Light Heavyweight,Light Heavyweight,43, Dmitry Bivol – Super champion (Regular champ promoted),Russia,10/10/2019,,1,377,,,10/10/2019,0,Eastern Europe,Europe, Super champion (Regular champ promoted)
WBA,Light Heavyweight,Light Heavyweight,44, Jean Pascal – Regular champion (Interim champ promoted),Canada,10/10/2019,,1,377,,,,,North America,North America, Regular champion (Interim champ promoted)
WBA,Super Middleweight,Super Middleweight,1, Park Chong-pal (v. Jesús Gallardo),South Korea,12/6/1987,,1,169,,,5/23/1988,169,East Asia,Asia,
WBA,Super Middleweight,Super Middleweight,2, Fulgencio Obelmejias,Venezuela,5/23/1988,,0,370,,,5/28/1989,370,South America,South America,
WBA,Super Middleweight,Super Middleweight,3, Baek In-chul,South Korea,5/28/1989,,2,305,,,3/30/1990,306,East Asia,Asia,
WBA,Super Middleweight,Super Middleweight,4, Christophe Tiozzo,France,3/30/1990,,2,371,,,4/5/1991,371,Western Europe,Europe,
WBA,Super Middleweight,Super Middleweight,5, Víctor Córdoba,Croatia,4/5/1991,,1,526,,,9/12/1992,526,Eastern Europe,Europe,
WBA,Super Middleweight,Super Middleweight,6, Michael Nunn,US,9/12/1992,,4,532,,,2/26/1994,532,North America,North America,
WBA,Super Middleweight,Super Middleweight,7, Steve Little,US,2/26/1994,,0,108,,,8/12/1994,167,North America,North America,
WBA,Super Middleweight,Super Middleweight,8, Frankie Liles,US,8/12/1994,,7,1769,,,6/12/1999,1765,North America,North America,
WBA,Super Middleweight,Super Middleweight,9, Byron Mitchell,US,6/12/1999,,1,301,,,4/8/2000,301,North America,North America,
WBA,Super Middleweight,Super Middleweight,10, Bruno Girard,France,4/8/2000,,1,267,,Girard vacated and moved up to light heavyweight,3/3/2001,329,Western Europe,Europe,
WBA,Super Middleweight,Super Middleweight,11, Byron Mitchell (2) (v. Manny Siaca),US,3/3/2001,,2,773,,Mitchell fought for Super title against Sven Ottke,3/15/2003,742,North America,North America,
WBA,Super Middleweight,Super Middleweight,12, Sven Ottke – Super champion (v. Byron Mitchell),Germany,3/15/2003,,4,378,,Ottke vacated and retired undefeated from professional boxing,9/3/2003,172,Western Europe,Europe, Super champion (v. Byron Mitchell)
WBA,Super Middleweight,Super Middleweight,13, Anthony Mundine (v. Antwun Echols),Australia,9/3/2003,,1,245,,,5/5/2004,245,Australia,Australia,
WBA,Super Middleweight,Super Middleweight,14, Manny Siaca,Puerto Rico,5/5/2004,,0,191,,,11/12/2004,191,Caribbean,North America,
WBA,Super Middleweight,Super Middleweight,15, Mikkel Kessler,Denmark,11/12/2004,,3,701,,Kessler fought for Super title against Markus Beyer,10/14/2006,701,Western Europe,Europe,
WBA,Super Middleweight,Super Middleweight,16, Mikkel Kessler – Super champion (v. Markus Beyer),Denmark,10/14/2006,,1,355,,,3/7/2007,144,Western Europe,Europe, Super champion (v. Markus Beyer)
WBA,Super Middleweight,Super Middleweight,16, Anthony Mundine (2) (v. Sam Soliman),Australia,3/7/2007,,4,447,,Mundine vacated and moved down to middleweight,11/4/2007,242,Australia,Australia,
WBA,Super Middleweight,Super Middleweight,17, Joe Calzaghe – Super champion,Great Britain,11/4/2007,,0,334,,Calzaghe vacated and moved up to light heavyweight,6/21/2008,230,Western Europe,Europe, Super champion
WBA,Super Middleweight,Super Middleweight,18, Mikkel Kessler (2) (v. Dimitri Sartison),Denmark,6/21/2008,,2,521,,Kessler fought for Super title against Andre Ward,11/21/2009,518,Western Europe,Europe,
WBA,Super Middleweight,Super Middleweight,19, Dimitri Sartison (v. Stjepan Bozic),Germany,11/21/2009,,1,601,,Sartison was stripped of title after failing to fight in defense fights against Brian Magee and later Robert Stieglitz,11/21/2009,0,Western Europe,Europe,
WBA,Super Middleweight,Super Middleweight,20, Andre Ward – Super champion (v. Mikkel Kessler),US,11/21/2009,,6,2182,,Ward vacated to move up to light heavyweight,8/26/2011,643,North America,North America, Super champion (v. Mikkel Kessler)
WBA,Super Middleweight,Super Middleweight,21, Károly Balzsay (v. Stanislav Kashtanov),Hungary,8/26/2011,,1,383,,Balzsay was declared Champion in recess and then retired from professional boxing,11/9/2012,441,Eastern Europe,Europe,
WBA,Super Middleweight,Super Middleweight,22, Brian Magee (Interim champ promoted),Great Britain,11/9/2012,,0,29,,,12/8/2012,29,Western Europe,Europe,
WBA,Super Middleweight,Super Middleweight,23, Mikkel Kessler (3),Denmark,12/8/2012,,0,168,,,5/25/2013,168,Western Europe,Europe,
WBA,Super Middleweight,Super Middleweight,24, Carl Froch,Great Britain,5/25/2013,,2,713,,"Froch was stripped of title for not defending it, he then retired",5/9/2015,714,Western Europe,Europe,
WBA,Super Middleweight,Super Middleweight,25, Fedor Chudinov (v. Felix Sturm),Russia,5/9/2015,,1,313,,Chudinov promoted to Super champion following Andre Ward's vacancy of his title.,1/5/2016,241,Eastern Europe,Europe,
WBA,Super Middleweight,Super Middleweight,26, Fedor Chudinov – Super champion (regular champ promoted),Russia,1/5/2016,,0,46,,,1/9/2016,4,Eastern Europe,Europe, Super champion (regular champ promoted)
WBA,Super Middleweight,Super Middleweight,27, Giovanni De Carolis (v. Vincent Feigenbutz),Italy,1/9/2016,,1,301,,,2/20/2016,42,Western Europe,Europe,
WBA,Super Middleweight,Super Middleweight,28, Felix Sturm – Super champion,Germany,2/20/2016,,0,228,,Sturm vacated citing impossibility to defend title after requiring surgery in both elbows,11/5/2016,259,Western Europe,Europe, Super champion
WBA,Super Middleweight,Super Middleweight,29, Tyron Zeuge – Regular Champion,Germany,11/5/2016,,3,1445,,,5/27/2017,203,Western Europe,Europe, Regular Champion
WBA,Super Middleweight,Super Middleweight,30, George Groves – Super champion (v. Fedor Chudinov),Great Britain,5/27/2017,,2,1242,,,7/14/2018,413,Western Europe,Europe, Super champion (v. Fedor Chudinov)
WBA,Super Middleweight,Super Middleweight,31, Rocky Fielding – Regular Champion,Great Britain,7/14/2018,,0,154,,,9/28/2018,76,Western Europe,Europe, Regular Champion
WBA,Super Middleweight,Super Middleweight,32, Callum Smith – Super champion (v. George Groves),Great Britain,9/28/2018,,2,753,,,12/15/2018,78,Western Europe,Europe, Super champion (v. George Groves)
WBA,Super Middleweight,Super Middleweight,33, Saúl Álvarez – Regular Champion,Mexico,12/15/2018,,0,350,,,,,North America,North America, Regular Champion
WBA,Middleweight,Middleweight,1, Dick Tiger (v. Gene Fullmer),Nigeria,10/23/1962,,2,410,,,12/7/1963,410,Sub-Saharan Africa,Africa,
WBA,Middleweight,Middleweight,2, Joey Giardello,US,12/7/1963,,1,684,,,10/21/1965,684,North America,North America,
WBA,Middleweight,Middleweight,3, Dick Tiger (2),Nigeria,10/21/1965,,0,363,,,4/25/1966,186,Sub-Saharan Africa,Africa,
WBA,Middleweight,Middleweight,4, Emile Griffith,US Virgin Islands,4/25/1966,,2,357,,,4/17/1967,357,Caribbean,North America,
WBA,Middleweight,Middleweight,5, Nino Benvenuti,Italy,4/17/1967,,0,165,,,9/29/1967,165,Western Europe,Europe,
WBA,Middleweight,Middleweight,6, Emile Griffith (2),US Virgin Islands,9/29/1967,,0,158,,,3/4/1968,157,Caribbean,North America,
WBA,Middleweight,Middleweight,7, Nino Benvenuti (2),Italy,3/4/1968,,4,970,,,11/7/1970,978,Western Europe,Europe,
WBA,Middleweight,Middleweight,8, Carlos Monzón,Argentina,11/7/1970,,14,2489,,"Monzón retired after his second fight with Rodrigo Valdez, without losing the title for almost 7 years",11/5/1977,2555,South America,South America,
